context,cos_dist,top1_acc,top3_acc
1,0.2048969749893461,0.7428571428571429,0.9107142857142857
2,0.2300442614725658,0.75,0.9357142857142857
3,0.22799179617847715,0.7571428571428571,0.9428571428571428
4,0.22265845217875072,0.75,0.9285714285714286
5,0.21775002884013311,0.7392857142857143,0.9214285714285714
6,0.21189821575369153,0.75,0.9107142857142857
7,0.20539520531892777,0.7571428571428571,0.9285714285714286
8,0.20016219509499414,0.7714285714285715,0.9142857142857143
9,0.19760104949985233,0.7714285714285715,0.925
10,0.1944694399833679,0.7428571428571429,0.925
