context,cos_dist,top1_acc,top2_acc,top3_acc
1,0.27905057817697526,0.6214285714285714,0.7857142857142857,0.9178571428571428
2,0.3159431166946888,0.6571428571428571,0.85,0.9285714285714286
3,0.3354573679821832,0.6678571428571428,0.8464285714285714,0.9107142857142857
4,0.34876309580036574,0.6571428571428571,0.8142857142857143,0.8928571428571429
5,0.35717818364501,0.6571428571428571,0.8107142857142857,0.8857142857142857
6,0.3611851575119155,0.625,0.7964285714285714,0.8892857142857142
7,0.3641826245401587,0.6107142857142858,0.8,0.8785714285714286
8,0.365951995658023,0.5892857142857143,0.775,0.8642857142857143
9,0.3672539407653468,0.5714285714285714,0.7642857142857142,0.8642857142857143
10,0.3692452528647014,0.5464285714285714,0.7642857142857142,0.8571428571428571
