beta,cos_dist,top1_acc,top5_acc
0.0,0.2330449124177297,0.55,0.9416666666666667
0.01,0.26443710376818974,0.625,0.9583333333333334
0.02,0.3032893275221189,0.6666666666666666,0.9583333333333334
0.03,0.34654683073361714,0.725,0.95
0.04,0.3894563908378283,0.725,0.9416666666666667
0.05,0.43453806613882384,0.6916666666666667,0.9583333333333334
0.06,0.4772048936535915,0.675,0.95
0.07,0.5190668528278669,0.65,0.95
0.08,0.5550794925540685,0.6666666666666666,0.9583333333333334
0.09,0.590528524791201,0.7,0.9583333333333334
0.1,0.6187767388299108,0.6666666666666666,0.9583333333333334
