context,cos_dist,top1_acc,top5_acc
1,0.16982899457216263,0.6,1.0
2,0.18986627360184988,0.6666666666666666,1.0
3,0.18521111061175663,0.6583333333333333,1.0
4,0.17426923861106236,0.7,0.9666666666666667
5,0.16610019753376642,0.7,0.9833333333333333
6,0.1622474531332652,0.6583333333333333,0.9666666666666667
7,0.1583780273795128,0.65,0.975
8,0.15294341842333475,0.6916666666666667,0.9666666666666667
9,0.14806703378756841,0.6833333333333333,0.9833333333333333
10,0.14456357260545094,0.7083333333333334,0.975
