context,cos_dist,top1_acc,top5_acc
1,0.19210822929938634,0.6,0.9916666666666667
2,0.22630485345919926,0.6333333333333333,0.975
3,0.23302915096282958,0.6,0.95
4,0.2330449124177297,0.55,0.9416666666666667
5,0.23059823364019394,0.5333333333333333,0.925
6,0.2324786697824796,0.5583333333333333,0.9083333333333333
7,0.2345101535320282,0.49166666666666664,0.8666666666666667
8,0.23323110193014146,0.525,0.8666666666666667
9,0.2302650421857834,0.5166666666666667,0.875
10,0.22971721092859904,0.49166666666666664,0.8666666666666667
