context,cos_dist,top1_acc,top5_acc
1,0.30025207474827764,0.49166666666666664,0.975
2,0.3504117955764135,0.525,0.9333333333333333
3,0.37907525325814884,0.525,0.8416666666666667
4,0.39532076319058734,0.475,0.85
5,0.4035839286943277,0.4583333333333333,0.8083333333333333
6,0.4151311571399371,0.4166666666666667,0.7416666666666667
7,0.4238085130850474,0.31666666666666665,0.7166666666666667
8,0.42920656750599545,0.325,0.6916666666666667
9,0.43144875901440777,0.31666666666666665,0.6666666666666666
10,0.43508723651369413,0.3,0.6666666666666666
