epoch,cos_dist,top1_acc,top5_acc
1,0.19811442444721858,0.10833333333333334,0.30833333333333335
2,0.0823884164293607,0.15833333333333333,0.525
3,0.05989192922910055,0.2,0.5333333333333333
4,0.055961894989013675,0.2,0.5333333333333333
5,0.05532983094453812,0.225,0.525
6,0.05525791794061661,0.225,0.5416666666666666
7,0.05526604056358338,0.23333333333333334,0.55
8,0.05527742753426234,0.23333333333333334,0.55
9,0.05528403123219808,0.23333333333333334,0.55
10,0.05528723994890849,0.23333333333333334,0.55
