context,cos_dist,top1_acc,top3_acc
1,0.20652892994029182,0.7428571428571429,0.9285714285714286
2,0.2311766715986388,0.7571428571428571,0.9607142857142857
3,0.23310030294316156,0.7607142857142857,0.95
4,0.23049034923315048,0.7642857142857142,0.9464285714285714
5,0.2296894101159913,0.7392857142857143,0.9214285714285714
6,0.22377899416855404,0.7428571428571429,0.9321428571428572
7,0.22045630493334362,0.7678571428571429,0.9321428571428572
8,0.21682065853050778,0.7678571428571429,0.9357142857142857
9,0.213558278126376,0.75,0.9285714285714286
10,0.2127347550221852,0.7428571428571429,0.9285714285714286
