beta,cos_dist,top1_acc,top3_acc
0.0,0.22514685158218656,0.7428571428571429,0.9464285714285714
0.01,0.2302105867436954,0.7464285714285714,0.9357142857142857
0.02,0.23422296685831887,0.7678571428571429,0.9535714285714286
0.03,0.23999695990766798,0.7607142857142857,0.9535714285714286
0.04,0.2480247295328549,0.7678571428571429,0.9392857142857143
0.05,0.25515408515930177,0.75,0.9357142857142857
0.06,0.2615233181842736,0.7928571428571428,0.9535714285714286
0.07,0.2706101555909429,0.7714285714285715,0.95
0.08,0.2823992267251015,0.7464285714285714,0.9392857142857143
0.09,0.29302702961223465,0.7642857142857142,0.925
0.1,0.3008111365139484,0.7892857142857143,0.9321428571428572
