beta,cos_dist,top1_acc,top2_acc,top3_acc
0.0,0.22520672572510583,0.7571428571428571,0.8892857142857142,0.95
0.01,0.22914517585720334,0.7678571428571429,0.9,0.9464285714285714
0.02,0.23626113778778485,0.7392857142857143,0.8785714285714286,0.9428571428571428
0.03,0.24143481318439755,0.7428571428571429,0.8821428571428571,0.9464285714285714
0.04,0.24631445524947984,0.7678571428571429,0.9071428571428571,0.9428571428571428
0.05,0.254050358917032,0.7678571428571429,0.9107142857142857,0.9464285714285714
0.06,0.26159384431583543,0.775,0.9,0.9392857142857143
0.07,0.27246155866554805,0.7571428571428571,0.8928571428571429,0.9464285714285714
0.08,0.28082040282232423,0.7642857142857142,0.9035714285714286,0.9464285714285714
0.09,0.29112829800163,0.75,0.875,0.9321428571428572
0.1,0.3012599987643106,0.7821428571428571,0.8928571428571429,0.9392857142857143
