beta,cos_dist,top1_acc,top3_acc
0.0,0.2250326665384429,0.7642857142857142,0.9464285714285714
0.01,0.22791805629219328,0.7607142857142857,0.9571428571428572
0.02,0.2337524673768452,0.7714285714285715,0.9464285714285714
0.03,0.2383146069943905,0.7678571428571429,0.9464285714285714
0.04,0.24824991769024304,0.7571428571428571,0.9428571428571428
0.05,0.25607953880514417,0.7642857142857142,0.9357142857142857
0.06,0.2631553853196757,0.7607142857142857,0.9428571428571428
0.07,0.2726531110703945,0.7571428571428571,0.9321428571428572
0.08,0.2808142283133098,0.7428571428571429,0.9357142857142857
0.09,0.29399305773632867,0.7535714285714286,0.9178571428571428
0.1,0.3017439891185079,0.7535714285714286,0.925
