epoch,cos_dist,top1_acc,top5_acc
0,0.42920656750599545,0.325,0.6916666666666667
1,0.2339523658156395,0.5166666666666667,0.8666666666666667
2,0.14900434066851936,0.6583333333333333,0.95
3,0.1295351172486941,0.6916666666666667,0.9583333333333334
4,0.12533545941114427,0.6916666666666667,0.95
5,0.12510377317667007,0.7,0.95
6,0.12564229220151898,0.6916666666666667,0.9333333333333332
7,0.12585890740156175,0.7,0.95
8,0.1254807596405347,0.725,0.9416666666666668
9,0.125663727025191,0.725,0.9416666666666668
10,0.126429849366347,0.7083333333333334,0.9416666666666668
