epoch,cos_dist,top1_acc,top5_acc
0,0.4172434131304423,0.3083333333333333,0.6916666666666667
1,0.21969224562247594,0.525,0.925
2,0.13693984697262446,0.6416666666666667,0.95
3,0.11819628725449245,0.675,0.9583333333333334
4,0.11502892673015595,0.7,0.9583333333333334
5,0.11500695745150248,0.725,0.9583333333333334
6,0.11504749606053034,0.7166666666666667,0.9583333333333334
7,0.1144237200419108,0.7,0.9583333333333334
8,0.11465668231248854,0.7166666666666667,0.95
9,0.11443649083375933,0.7,0.95
10,0.11540045589208606,0.675,0.95
