epoch,cos_dist,top1_acc,top5_acc
0,0.5588158666466673,0.13333333333333333,0.35
1,0.23424802273511885,0.19166666666666668,0.475
2,0.1308276653289795,0.2333333333333333,0.625
3,0.11091542492310208,0.25833333333333336,0.675
4,0.10734473417202632,0.2833333333333333,0.6916666666666667
5,0.10588089277346928,0.2916666666666667,0.7166666666666667
6,0.10598431676626204,0.3,0.6583333333333333
7,0.10581338653961818,0.275,0.6833333333333333
8,0.10587013612190882,0.2916666666666667,0.65
9,0.10647068272034327,0.3083333333333333,0.625
10,0.10614129056533178,0.3,0.6416666666666667
