epoch,cos_dist,top1_acc,top5_acc
0,0.5520740407208602,0.06666666666666668,0.2333333333333333
1,0.19988058457771934,0.075,0.3
2,0.08210626145203909,0.175,0.4666666666666667
3,0.0586549162864685,0.2,0.5166666666666667
4,0.05380811095237732,0.2,0.55
5,0.052993813653786984,0.225,0.525
6,0.05280971030394236,0.225,0.55
7,0.05252587695916493,0.225,0.5583333333333333
8,0.05268519967794418,0.20833333333333331,0.5333333333333333
9,0.052360666791597996,0.20833333333333331,0.525
10,0.052040320634841916,0.225,0.5666666666666667
